GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
14749,7003953,4668844566,22023391, 'Exact sequence & title match',Day of the Sorcerers, 'Day of the Sorcerers',|['Day of the Sorcerers',3346767,3346767,,,,,,,Pass,Pass
14749,446937,722635316,22023391, 'Exact sequence & title match',Princess Butterfly, 'Princess Butterfly',|['Princess Butterfly',3330347,3330347,,,,,,,Pass,Pass
14749,7029285,4754373727,22023391, 'Exact sequence & title match',The Secret Library: Tale of the Eternal Torch, 'The Secret Library: Tale of the Eternal Torch',|['The Secret Library: Tale of the Eternal Torch',3347094,3347094,,,,,,,Pass,Pass
14749,7054478,4758031236,22023391, 'Exact sequence & title match',The Crown of Blossoms, 'The Crown of Blossoms',|['The Crown of Blossoms',3347448,3347448,,,,,,,Pass,Pass
14749,7079801,4771911381,22023391, 'Exact sequence & title match',Pin the Blame on the Genie, 'Pin the Blame on the Genie',|['Pin the Blame on the Genie',3347685,3347685,,,,,,,Pass,Pass
14749,3554563,1424355755,22023391, 'Exact sequence & title match',A Tale of Two Teams, 'A Tale of Two Teams',|['A Tale of Two Teams',3336294,3336294,,,,,,,Pass,Pass
14749,7262779,4860204678,22023391, 'Exact sequence & title match',The Mystic Isles, 'The Mystic Isles',|['The Mystic Isles',3347892,3347892,,,,,,,Pass,Pass
20933,8485973,6246220620,1020105542, 'Exact sequence & title match',Rule #1: Keep the Toast Short, 'Rule #1: Keep The Toast Short',|['Rule #1: Keep The Toast Short',3967848,3967848,,,,,,,Pass,Pass
20933,8485971,6201571427,1020105542, 'Exact sequence & title match',Rule #63: It's a Marathon Not a Sprint," ""Rule #63: It's a Marathon Not a Sprint""","|[""Rule #63: It's a Marathon Not a Sprint""",3967743,3967743,,,,,,,Pass,Pass
20933,8450275,6240597484,1020105542, 'Exact sequence & title match',Rule #97: It Takes Two to Stab Yourself in the Butt, 'Rule #97: It Takes Two to Stab Yourself in the Butt',|['Rule #97: It Takes Two to Stab Yourself in the Butt',3967813,3967813,,,,,,,Pass,Pass
20933,7511269,5204441340,1020105542, 'Exact sequence & title match',Rule #155: Go With the Magician, 'Rule #155: Go With the Magician',|['Rule #155: Go With the Magician',3967447,3967447,,,,,,,Pass,Pass
20933,7476672,5157515939,1020105542, 'Exact sequence & title match',Rule #49: Let It Shine, 'Rule #49: Let It Shine',|['Rule #49: Let It Shine',3967205,3967205,,,,,,,Pass,Pass
20933,7454416,5109037758,1020105542, 'Exact sequence & title match',Rule #10: Just Survive, 'Rule #10: Just Survive',|['Rule #10: Just Survive',3967059,3967059,,,,,,,Pass,Pass
20933,2716202,1338912003,1020105542, 'Exact sequence & title match',Rule #21: Leave Childishness to Children, 'Rule #21: Leave Childishness to Children',|['Rule #21: Leave Childishness to Children',3962813,3962813,,,,,,,Pass,Pass
20933,7511268,5179661437,1020105542, 'Exact sequence & title match',Rule #930: Plan for New Plans, 'Rule #930: Plan for New Plans',|['Rule #930: Plan for New Plans',3967353,3967353,,,,,,,Pass,Pass
20933,5122272,3187062151,1020105542, 'Exact sequence & title match',Rule #79: Labels Are for Canned Goods, 'Rule #79: Labels Are for Canned Goods',|['Rule #79: Labels Are for Canned Goods',3965358,3965358,,,,,,,Pass,Pass
20933,2811749,1338912012,1020105542, 'Exact sequence & title match',Rule #33: When in Doubt Run Away, 'Rule #33: When in Doubt Run Away',|['Rule #33: When in Doubt Run Away',3963016,3963016,,,,,,,Pass,Pass
20933,7454417,5157515943,1020105542, 'Exact sequence & title match',Rule #706: Let Them Eat Cupcakes, 'Rule #706: Let Them Eat Cupcakes',|['Rule #706: Let Them Eat Cupcakes',3967307,3967307,,,,,,,Pass,Pass
20933,4939652,1414534885,1020105542, 'Exact sequence & title match',Rule #58: Avoid The Douchemobile, 'Rule #58: Avoid the Douchemobile',|['Rule #58: Avoid the Douchemobile',3963647,3963647,,,,,,,Pass,Pass
20933,3041573,1362629114,1020105542, 'sequence & title match',Rule #32:  F-You Rob Frumpkis, 'Rule #32: F-You Rob Frumpkis!',|['Rule #32: F-You Rob Frumpkis!',3963381,3963381,,,,,,,Pass,Pass
20933,2973574,1354899185,1020105542, 'Exact sequence & title match',Rule #17: Ask the Answer Lady, 'Rule #17: Ask the Answer Lady',|['Rule #17: Ask the Answer Lady',3963318,3963318,,,,,,,Pass,Pass
20933,3175965,1380057177,1020105542, 'sequence & title match',Rule #46:  Keep The Holidays Low Key, 'Rule #46: Keep the Holidays Low Key',|['Rule #46: Keep the Holidays Low Key',3964626,3964626,,,,,,,Pass,Pass
20933,2327848,1306900592,1020105542, 'sequence & title match',Rule #47: Always Take Advantage of 'Me' Time," 'Rule 47: Always Take Advantage of ""Me Time""'","|['Rule 47: Always Take Advantage of ""Me Time""'",3962538,3962538,,,,,,,Pass,Pass
20933,4982008,2084635223,1020105542, 'Exact sequence & title match',Rule #605: You Can Go Home Again, 'Rule #605: You Can Go Home Again',|['Rule #605: You Can Go Home Again',3964250,3964250,,,,,,,Pass,Pass
20933,5143454,3233219911,1020105542, 'Exact sequence & title match',Rule #36: If You Can't Stand the Heat You're Cooked," ""Rule #36: If You Can't Stand the Heat You're Cooked""","|[""Rule #36: If You Can't Stand the Heat You're Cooked""",3965660,3965660,,,,,,,Pass,Pass
20933,2499569,1316793361,1020105542, 'Exact sequence & title match',Rule #426: Fantasyland: A Great Place to Visit, 'Rule #426: Fantasyland: A Great Place to Visit',|['Rule #426: Fantasyland: A Great Place to Visit',3962668,3962668,,,,,,,Pass,Pass
20933,3110353,1377141428,1020105542, 'sequence & title match',Rule #3:  Don't Stand In The Doorway," ""Rule #3: Don't Stand in the Doorway""","|[""Rule #3: Don't Stand in the Doorway""",3964503,3964503,,,,,,,Pass,Pass
20933,6587716,4370447813,1020105542, 'Exact sequence & title match',Rule #137: Move Your Car, 'Rule #137: Move Your Car',|['Rule #137: Move Your Car',3966270,3966270,,,,,,,Pass,Pass
20933,3232444,1389588804,1020105542, 'sequence & title match',Rule #92:  Don't Do The Crime If You Can't Do The Time," ""Rule #92: Don't Do the Crime If You Can't Do the Time""","|[""Rule #92: Don't Do the Crime If You Can't Do the Time""",3964691,3964691,,,,,,,Pass,Pass
20933,6648658,4429805652,1020105542, 'Exact sequence & title match',Rule #225: What Happens in Bakersfield Stays in Bakersfield, 'Rule #225: What Happens in Bakersfield Stays in Bakersfield',|['Rule #225: What Happens in Bakersfield Stays in Bakersfield',3966535,3966535,,,,,,,Pass,Pass
20933,1886024,1303302662,1020105542, 'sequence & title match',Rule #174: Never Trust Anyone Who Charges By The Hour, 'Rule 174: Never Trust Anyone Who Charges By the 
