GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
808,129509,2481223,2262710, 'Exact sequence & title match',Rescue and Renewal, 'Rescue and Renewal',|['',3345294,3345294,,,,,,,Pass,Pass
808,129524,2465729,2262710, 'Exact sequence & title match',A Fighting Chance, 'A Fighting Chance',|['',3345012,3345012,,,,,,,Pass,Pass
808,4366079,2371836,2262710, 'Exact sequence & title match',Project Rescue, 'Project Rescue',|['',3344330,3344330,,,,,,,Pass,Pass
808,129535,2452498,2262710, 'Exact sequence & title match',The Survivors, 'The Survivors',|['',3344639,3344639,,,,,,,Pass,Pass
808,129530,2460376,2262710, 'Exact sequence & title match',Starting Over, 'Starting Over',|['',3344822,3344822,,,,,,,Pass,Pass
808,129520,18042213,2262710, 'title match only',Friends in Need, 'Friends in Need',|['',3346667,13012555,[{'sourceId': '129520'}],"[{'rovi_projectx_id_mapped': 'rovi_id:18042213,Map_reason:not found in projectx'}]",,,True,[3343676],Fail,Fail
808,129533,2457579,2262710, 'Exact sequence & title match',Against the Odds, 'Against the Odds',|['',3344745,3344745,,,,,,,Pass,Pass
809,4374671,2014175,2013204, 'Exact sequence & title match',Mangrove Man-eater, 'Mangrove Man-Eater',|['Mangrove Man-Eater',3015882,3015882,,,,,,,Pass,Pass
809,128338,2014183,2013204, 'Exact sequence & title match',Death Down Under, 'Death Down Under',|['Death Down Under',3015988,3015988,,,,,,,Pass,Pass
809,128327,2013206,2013204, 'Exact sequence & title match',Kodiak Attack, 'Kodiak Attack',|['Kodiak Attack',3015659,3015659,,,,,,,Pass,Pass
809,128323,2014097,2013204, 'Exact sequence & title match',Stalked at Sea, 'Stalked at Sea',|['Stalked at Sea',3015858,3015858,,,,,,,Pass,Pass
809,128316,2013210,2013204, 'title match only',The Silent Stalker, 'The Silent Stalker',|['The Silent Stalker',3015697,13457084,[{'sourceId': '128316'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2013210,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128312,2014094,2013204, 'title match only',Vanished, 'Vanished',|['Vanished',3015779,13457085,[{'sourceId': '128312'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2014094,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128304,2013213,2013204, 'title match only',Kidnapped, 'Kidnapped',|['Kidnapped',3015721,13457087,[{'sourceId': '128304'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2013213,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128296,2021479,2013204, 'title match only',Shadow Stalkers, 'Shadow Stalkers',|['Shadow Stalkers',3016008,13457088,[{'sourceId': '128296'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2021479,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128291,2023401,2013204, 'title match only',Dolphin Attack, 'Dolphin Attack',|['Dolphin Attack',3016110,13457089,[{'sourceId': '128291'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2023401,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128320,2013218,2013204, 'title match only',Tanzania Terror, 'Tanzania Terror',|['Tanzania Terror',3015741,13457083,[{'sourceId': '128320'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2013218,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128265,2198668,2013204, 'title match only',Bear Man's Land," ""Bear Man's Land""","|[""Bear Man's Land""",3016898,3016898,,,,,,,Pass,Pass
809,128262,2198666,2013204, 'title match only',Jungle Breakout, 'Jungle Breakout',|['Jungle Breakout',3016793,13457093,[{'sourceId': '128262'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2198666,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128309,2339496,2013204, 'title match only',Victims of Venom, 'Victims of Venom',|['Victims of Venom',3017947,3017947,,,,,,,Pass,Pass
809,128273,2107104,2013204, 'title match only',Cougar Island, 'Cougar Island',|['Cougar Island',3016589,13457090,[{'sourceId': '128273'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2107104,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128257,2269005,2013204, 'title match only',Rhino Showdown, 'Rhino Showdown',|['Rhino Showdown',3017427,13457094,[{'sourceId': '128257'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2269005,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128334,2014179,2013204, 'Exact sequence & title match',Predators in Paradise, 'Predators in Paradise',|['Predators in Paradise',3015981,3015981,,,,,,,Pass,Pass
809,128270,2116163,2013204, 'title match only',Gator Attack, 'Gator Attack',|['Gator Attack',3016677,13457091,[{'sourceId': '128270'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2116163,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128277,2098664,2013204, 'title match only',Horns of Death, 'Horns of Death',|['Horns of Death',3016454,13457096,[{'sourceId': '128277'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2098664,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128259,2206396,2013204, 'title match only',Ghosts of the Snow, 'Ghosts of the Snow',|['Ghosts of the Snow',3017032,13457095,[{'sourceId': '128259'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2206396,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128281,2068260,2013204, 'title match only',Danger in the Delta, 'Danger in the Delta',|['Danger in the Delta',3016356,13457097,[{'sourceId': '128281'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2068260,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
809,128285,2041508,2013204, 'title match only',Shark Invasion, 'Shark Invasion',|['Shark Invasion',3016217,3016217,,,,,,,Pass,Pass
809,128288,2041510,2013204, 'title match only',Ambush, 'Ambush',|['Ambush',3016306,13457098,[{'sourceId': '128288'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2041510,Map_reason:not found in projectx'}]",,,True,[3015449],Fail,Fail
813,131111,13745713,13560491, 'Exact sequence & title match',Croc Escape, 'Croc Escape',|['Croc Escape',3321741,3321741,,,,,,,Pass,Pass
813,131106,13810876,13560491, 'Exact sequence & title match',Break-In Bear, 'Break-in Bear',|['Break-in Bear',3321865,3321865,,,,,,,Pass,Pass
