GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
15464,473267557,3521413,3521413,,,,,,Pass,Pass
36633,3456171416,10344891,10344891,,,,,,Pass,Pass
17243,862521792,3540790,3540790,,,,,,Pass,Pass
124,1708439,5132309,5132309,,,,,,Pass,Pass
17196,963145247,8785425,8785425,,,,,,Pass,Pass
1157,21707308,3441090,13428383,"[{'source_id': '1157,Map_reason:new'}]","[{'3441090': 'rovi_id:21707308,Map_reason:not found in projectx'}]",,,False,Fail,Fail
1712,48976,4017658,4017658,,,,,,Pass,Pass
2340,2446475,5456410,5456410,,,,,,Pass,Pass
22367,887412,4677409,4677409,,,,,,Pass,Pass
43355,4558537600,10954231,10954231,,,,,,Pass,Pass
14681,22176127,3546674,3546674,,,,,,Pass,Pass
2457,263189,4099607,4099607,,,,,,Pass,Pass
1900,9155,3845376,3845376,,,,,,Pass,Pass
19699,1097944446,8935646,8935646,,,,,,Pass,Pass
2806,11911058,5778910,5778910,,,,,,Pass,Pass
2401,285258,4121502,4121502,,,,,,Pass,Pass
16791,738278417,3712461,3712461,,,,,,Pass,Pass
22594,1370662850,3683715,3683715,,,,,,Pass,Pass
34900,1926124854,3718096,3718096,,,,,,Pass,Pass
14717,288176499,3327480,3327480,,,,,,Pass,Pass
31985,1492530846,3788959,3788959,,,,,,Pass,Pass
10732,17824680,7045940,7045940,,,,,,Pass,Pass
12597,1807123,5179723,5179723,,,,,,Pass,Pass
19235,939714695,8745276,8745276,,,,,,Pass,Pass
10027,449547169,3996877,3996877,,,,,,Pass,Pass
22314,321150,2756005,2756005,,,,,,Pass,Pass
2549,8776475,3397615,3397615,,,,,,Pass,Pass
605,383505,4156675,4156675,,,,,,Pass,Pass
2453,1848022,2814914,2814914,,,,,,Pass,Pass
508,9309665,5503663,5503663,,,,,,Pass,Pass
15678,642178882,3415791,3415791,,,,,,Pass,Pass
11800,21602520,7491828,7491828,,,,,,Pass,Pass
21696,1717920,5141004,5141004,,,,,,Pass,Pass
27873,681319836,10101071,10101071,,,,,,Pass,Pass
16527,1888833,3100271,3100271,,,,,,Pass,Pass
22228,18425086,7197144,7197144,,,,,,Pass,Pass
42650,4172753331,10728569,10728569,,,,,,Pass,Pass
12622,1807160,5179750,5179750,,,,,,Pass,Pass
104,424936,4206363,4206363,,,,,,Pass,Pass
3047,2388637,5435909,5435909,,,,,,Pass,Pass
16817,746460642,3692600,3692600,,,,,,Pass,Pass
10564,840589,4639931,4639931,,,,,,Pass,Pass
2019,293216,4126599,4126599,,,,,,Pass,Pass
15884,982904194,8804319,8804319,,,,,,Pass,Pass
409,966203,3023076,3023076,,,,,,Pass,Pass
4861,2343623,5414407,5414407,,,,,,Pass,Pass
10110,19076834,3674563,3674563,,,,,,Pass,Pass
15450,521543184,8192588,8192588,,,,,,Pass,Pass
42752,4326522312,10822173,10822173,,,,,,Pass,Pass
22443,1230822342,3561502,3561502,,,,,,Pass,Pass
34890,1800393069,9530098,9530098,,,,,,Pass,Pass
9336,2018945,5276965,5276965,,,,,,Pass,Pass
7376,2130750,2852367,2852367,,,,,,Pass,Pass
37579,3545775753,10380794,10380794,,,,,,Pass,Pass
37956,3569616532,10389051,10389051,,,,,,Pass,Pass
14469,342458174,8022229,8022229,,,,,,Pass,Pass
14520,320267476,7964272,7964272,,,,,,Pass,Pass
5939,2205765,2830254,2830254,,,,,,Pass,Pass
13628,223362,4055704,4055704,,,,,,Pass,Pass
2953,1701995,3632276,3632276,,,,,,Pass,Pass
328,13306862,3330108,3330108,,,,,,Pass,Pass
1688,410883,4164474,4164474,,,,,,Pass,Pass
7102,448296,3522300,3522300,,,,,,Pass,Pass
19456,22422958,7653178,7653178,,,,,,Pass,Pass
13607,11969417,5869362,5869362,,,,,,Pass,Pass
41788,4347494242,3884863,3884863,,,,,,Pass,Pass
10764,17965140,7078233,7078233,,,,,,Pass,Pass
14612,325434105,3351309,3351309,,,,,,Pass,Pass
23300,1301333656,9190841,9190841,,,,,,Pass,Pass
17453,869650711,3453461,3453461,,,,,,Pass,Pass
23230,1393532462,9298190,9298190,,,,,,Pass,Pass
9072,19917302,3102599,3102599,,,,,,Pass,Pass
16124,19924734,3341923,3341923,,,,,,Pass,Pass
15856,10660681,3314339,3314339,,,,,,Pass,Pass
22665,1349571164,9254921,9254921,,,,,,Pass,Pass
637,18165540,3291423,3291423,,,,,,Pass,Pass
15881,302044825,3690889,3690889,,,,,,Pass,Pass
10259,2315058,5404164,5404164,,,,,,Pass,Pass
