source,id,SM_id,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,3479104,28012,[{'amazon': 'B01MTDM4D1'}],,Shaun Ryder On UFOs,Sightings And Strange Cases,,FALSE,"[13265669, 3407042, 3407506]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,3479255,28015,[{'itunes': '1037549892'}],,The Great Fire,Episode 4,,FALSE,[9102202],,,,"('No multiple ids for this link', [{'itunes': '1037549892'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,6461026,28077,[{'amazon': 'B01AMX0M2U'}],,The FIRM: Flat Abs Solution,Fat Blast Express,,FALSE,[13265012],,,,"('No multiple ids for this link', [{'amazon': 'B01AMX0M2U'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7450259,28082,[{'hulu': '582ecda1-74eb-4f14-b83d-49bb1f0d4d33'}],,Bess of Both Worlds,If You Knew Susie,,FALSE,"[13264799, 3560595]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,3423878,28115,[{'itunes': '917360954'}],,Globe Trekker: The Ultimate Collection,Ultimate UK,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '917360954'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7279271,28130,[{'itunes': '1253223105'}],,Big Star's Little Star,Episode 6,,FALSE,[3929283],,,,"('No multiple ids for this link', [{'itunes': '1253223105'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7806713,28148,[{'netflixusa': '80231806'}],,Senora Acero,Peligrosa recompensa,,FALSE,[9483667],,,,"('No multiple ids for this link', [{'netflixusa': '80231806'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,4445596,28149,[{'hulu': '756f530c-48db-4a44-bbe5-43512715fa43'}],,Tierra de Reyes,Gran final,,FALSE,[13264781],,,,"('No multiple ids for this link', [{'hulu': '756f530c-48db-4a44-bbe5-43512715fa43'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3592047,28156,[{'itunes': '979816147'}],,Strange Love (2015),Head-locked and Dreadlocked,,FALSE,"[9400187, 9400475, 9400295]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,3476884,28168,[{'amazon': 'B010UY2X4Q'}],,Great Hearts of Courage,Father Damien,,FALSE,[7433103],,,,"('No multiple ids for this link', [{'amazon': 'B010UY2X4Q'}])",No multiple ids for this link,,,,,,,,,,,,,
