Rovi,Vudu,Px_id1,Px_id2
2173591,129017,638504,14071297
12722383,129050,1047967,14071301
2262163,129052,670421,14071302
2262181,129053,670412,14071300
17697304,129056,685333,14071303
2262817,129058,670716,14071304
20679768,129065,699785,1155309
11755526,129109,829551,606916
982759973,129111,1207720,1207740
19791947,129112,490626,3879524
2277432,129216,676797,14071310
1406098609,130245,2272137,656289
716564239,130415,1796506,682203
2339450,130425,701594,14071320
2224928,130444,656285,14071327
17338189,130787,1182743,692368
1297791,130830,326162,4031424
1156433139,130907,2058575,651392
2318101,130919,692386,14071342
951068410,131006,1933353,706733
2318011,131009,692347,14071341
16882826,132100,698472,3920997
3211,132137,1055,14071356
8391564,132150,780250,14071353
2262567,132320,670619,14071355
2299965,132325,685203,3995063
2299967,132327,685204,14071351
2340809,132896,702096,14071348
112497,134097,37007,14071365
285082,134098,74202,14071361
19083795,134099,1314089,14071362
2291490,134303,682010,14071367
14452163,134404,768321,14071370
2055132,136269,595290,648464
2324933,136281,695206,923374
2352031,136288,706874,14071376
9863532,138349,805060,14071379
12491062,138351,1009621,14071377
13020738,138355,1095016,14071381
435375,138493,97619,14076717
16651333,138603,1165039,716828
1526609,138609,408980,14071382
156852,138610,49718,14071383
370785,139822,85061,14071388
435025,140083,97369,1188513
2343319,140138,703231,14071403
13008519,140235,1093125,14071404
163138,140421,50665,106123
162033,140499,50295,105977
1641417,140522,449129,14071444
17633179,140678,1191354,211998
157913,140700,49826,226950
1058026,140720,206027,3265600
303418,140829,76938,465692
1058967,140877,206733,14071498
53274,140913,18433,14071504
2009722,140972,578685,14071512
1750883,140975,485602,499462
1073016,141008,218130,14071514
443890034,141105,1670461,668960
6795806186,141253,3823452,571129
2352078,141350,706912,14076343
20487848,141368,717770,3711703
754086841,141479,1815140,724402
1078091,141522,222272,225859
66095700,141529,1469589,682674
2390474,141589,722555,14071546
2390528,141604,722573,14071549
8745061,141853,786530,735908
2192122,141964,644601,14071561
1089695,142016,232136,14071572
994723182,142043,747507,14071586
2352047,142045,706905,14071585
362246,142101,83663,14071584
2396637,142104,725090,14071590
2352111,142107,706943,14071592
2397009,142152,725314,14071594
12010443,142388,914933,14071598
10133203,142658,810441,14071618
9707575,142812,802736,706921
2478794,142827,759980,14071619
340709,142992,81607,725273
2353886,142993,707654,14071622
11751301,143200,827512,703524
397108,143250,88265,742341
398893,143278,88557,725335
2397125,143307,725410,14071629
2416162,143317,733969,14071632
2445716,143344,747091,14071635
17889347,143596,1206410,14071634
408964,143852,90810,14071650
2352167,144696,706957,14071654
8840119,145262,788230,725342
2352212,145531,707011,14071670
2397042,160804,725372,14071685
333354338,160806,1606050,981222
408693,160836,90737,768282
2394825,162053,724453,14071711
18903756,162340,760551,14071716
2397110,162344,725399,14071715
11737731,162357,821290,777866
17889202,162722,1206334,14071724
19917458,167624,1354204,14071731
2475038,167667,758610,14071732
19190482,168171,1324430,88465
404425,168531,89626,72838
6825771909,168833,3831764,67789
2487881,169561,763440,14071775
2397090,169685,725396,14071773
2479799,169687,760377,14071774
19990181,171940,1362591,1080079
21902817,171945,1408234,788664
2396951,172148,725263,3839522
7903736,172934,772710,14071782
