GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
109639,434011181,The Yank,2014,811807,811807,,,,,,Pass,Pass
109757,2364714,All God's Children Can Dance,2008,645814,645814,,,,,,Pass,Pass
109775,1381485865,Lost Legion,2014,147921,147921,,,,,,Pass,Pass
109815,1053993503,Druid Peak,2014,858879,858879,,,,,,Pass,Pass
109816,1372264166,Hansel vs Gretel,2015,278458,278458,,,,,,Pass,Pass
109817,383984112,23 Blast,2014,810286,810286,,,,,,Pass,Pass
109818,938343546,Drumline: A New Beat,2014,30370,30370,,,,,,Pass,Pass
109820,3952327453,Ghost In The Shell: Arise - Border 3: Ghost Tears,2014,984169,984169,,,,,,Pass,Pass
109823,6182028641,Richard Lewis - Diary Of A Young Comic,1979,353136,393835,"[{'source_projectx_id_mapped': 'rovi_id:1062347,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":4,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '109823'}]","[{'rovi_projectx_id_mapped': 'rovi_id:6182028641,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
109948,440185,Babes in Toyland,1934,[89441],Nil,,,,,,source_id not ingested,Fail
109949,21964217,A Smile as Big as the Moon,2012,42108,42108,,,,,,Pass,Pass
109965,99299,Trucker's Woman,1975,526207,526207,,,,,,Pass,Pass
109970,1114123,Madeline: Lost in Paris,1999,23452,23452,,,,,,Pass,Pass
109983,1058862,Caroline?,1990,393385,393385,,,,,,Pass,Pass
109988,322331708,Christmas with Holly,2012,43703,43703,,,,,,Pass,Pass
109992,2263019,The Russell Girl,2008,38162,38162,,,,,,Pass,Pass
109994,2145710,Crossroads: A Story of Forgiveness,2007,12261726,12261726,,,,,,Pass,Pass
109996,2072454,Candles on Bay Street,2006,37916,37916,,,,,,Pass,Pass
109998,1894351,Silver Bells,2005,38180,38180,,,,,,Pass,Pass
109999,1767124,The Magic of Ordinary Days,2005,399714,399714,,,,,,Pass,Pass
110010,1053993490,Something Anything,2015,858946,858946,,,,,,Pass,Pass
110013,1370436095,500 Miles,2014,884614,884614,,,,,,Pass,Pass
110015,1303878843,A Little Game,2014,154371,154371,,,,,,Pass,Pass
110020,1076362,Tarzan and the She-Devil,1953,586576,586576,,,,,,Pass,Pass
110021,1072079,Tarzan Finds a Son!,1939,69079,69079,,,,,,Pass,Pass
