GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping,hulu_id_present,vudu_id_present
82679,364549243,Monster High: Friday Night Frights,2013,12895,12895,,,,,,Pass,Pass,,
4995,16851970,13 Assassins,2010,112144,112144,,,,,,Pass,Pass,,
47781,670713348,The Hero of Color City,2014,833432,833432,,,,,,Pass,Pass,,
92413,642955109,Isolated,2014,936050,936050,,,,,,Pass,Pass,,
92003,11834712,The Class of 92,2013,121264,1086315,"[{'1086315': 'rovi_id:6811364319,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":352,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '92003'}]","[{'121264': 'rovi_id:11834712,Map_reason:not found in projectx'}, {'vudu_id': '548523'}]",TRUE,,FALSE,Fail,Fail,FALSE,TRUE
51508,1335075,Bridget Jones's Diary,2001,131801,131801,,,,,,Pass,Pass,,
147415,3265607374,A Street Cat Named Bob,2016,964597,964597,,,,,,Pass,Pass,,
149245,4223182270,Roger Corman's Death Race 2050,2017,1000812,1000812,,,,,,Pass,Pass,,
151805,4612445302,Take Me,2017,1014704,1014704,,,,,,Pass,Pass,,
115729,383637699,The Physician,2013,123554,123554,,,,,,Pass,Pass,,
134692,840362174,Jane Got a Gun,2015,146879,146879,,,,,,Pass,Pass,,
148259,4029697615,Contract to Kill,2016,164140,164140,,,,,,Pass,Pass,,
27851,427017,Night of the Living Dead,1990,67878,67878,,,,,,Pass,Pass,,
2471,1977686,Brick,2006,81097,81097,,,,,,Pass,Pass,,
66951,990708575,Mallrats,1995,53549,53549,,,,,,Pass,Pass,,
45982,1944687,Tristan & Isolde,2006,78662,78662,,,,,,Pass,Pass,,
53622,982759549,Blue Jasmine,2013,113726,113726,,,,,,Pass,Pass,,
48566,427764,Jerry Maguire,1996,50178,50178,,,,,,Pass,Pass,,
1107,991658453,Pretty in Pink,1986,70567,70567,,,,,,Pass,Pass,,
2021,982759602,Footloose,1984,51933,51933,,,,,,Pass,Pass,,
9829,982759638,Days of Thunder,1990,63286,63286,,,,,,Pass,Pass,,
19910,457495,Big,1988,61432,61432,,,,,,Pass,Pass,,
133474,1152362607,Star Wars: The Force Awakens,2015,129136,129136,,,,,,Pass,Pass,,
