rovi_id,hulu_id,px_id1,px_id1_show_type,px_id1_variant_parent_id,px_id1_is_group_language_primary,px_id1_record_language,px_id2,px_id2_show_type,px_id2_variant_parent_id,px_id2_is_group_language_primary,px_id2_record_language,px_id1_credits_null,px_id1_db_credit_present,px_id2_credits_null,px_id2_db_credit_present,long_title_match,original_title_match,runtime_match,release_year_match,alias_title_match,credit_match
327207867,29438,1595330,SM,,TRUE,EN,14048604,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
16852305,29083,47243,SM,,TRUE,EN,13951950,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE
13917226,18314,1133377,SM,,TRUE,EN,14036560,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
3520582335,28908,2726154,SM,,TRUE,EN,2776815,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE
934666109,16149,1846940,SM,,TRUE,EN,14040759,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1534414,8322,411619,SM,,TRUE,EN,14061673,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
1483040194,21488,2330654,SM,,TRUE,EN,14037376,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1058055895,23344,1997164,SM,,TRUE,EN,2661773,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
1714723,20822,10867,SM,,TRUE,EN,14061036,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
19680393,6385,1301730,SM,,TRUE,EN,14039081,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
1771805,13700,493171,SM,,TRUE,EN,14060190,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
936143059,14787,1758570,SM,,TRUE,EN,14039453,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1167717069,17887,2069386,SM,,TRUE,EN,14039595,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
1758153,13304,82321,SM,,TRUE,EN,963819,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,
927526661,16831,1897350,SM,,TRUE,EN,13862030,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
927497330,15854,1916818,SM,,TRUE,EN,14058518,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
1877213,1304,81653,SM,,TRUE,EN,14042318,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
