Hulu_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping
1005490,2463640,Sidewalls,2011,136203,14618454,[{'source_id': '1005490'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2463640,Map_reason:not found in projectx'}]",,,False,Fail,Fail
976538,19913971,Fun Size,2012,105897,105897,,,,,,Pass,Pass
975338,422706,The First Wives Club,1996,68895,68895,,,,,,Pass,Pass
976533,427010,At Close Range,1986,65693,65693,,,,,,Pass,Pass
973718,1488127587,King Georges,2016,964453,964453,,,,,,Pass,Pass
1019486,263290,The Housemaid ,2011,552096,87210,"[{'source_projectx_id_mapped': 'rovi_id:18056564,Map_reason:not found in projectx'}, {'source_id': '1019486'}]","[{'rovi_projectx_id_mapped': 'rovi_id:263290,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":86,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
986948,234588,The Damned ,2014,548548,14618453,[{'source_id': '986948'}],"[{'rovi_projectx_id_mapped': 'rovi_id:234588,Map_reason:not found in projectx'}]",,,False,Fail,Fail
986899,1063208942,Asmodexia,2014,125628,125628,,,,,,Pass,Pass
1004156,3158404416,Hunt for the Wilderpeople,2016,161741,161741,,,,,,Pass,Pass
958030,423005,Patriot Games,1992,55298,55298,,,,,,Pass,Pass
958023,873725896,Battle Ground,2013,847555,14531380,[{'source_id': '958023'}],"[{'rovi_projectx_id_mapped': 'rovi_id:873725896,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":135,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
1029593,1315888,Chocolat,2001,95285,95285,,,,,,Pass,Pass
1165586,1610409,Bad Santa,2003,63400,63400,,,,,,Pass,Pass
957935,669400968,Proxy,2013,173179,14531379,[{'source_id': '957935'}],"[{'rovi_projectx_id_mapped': 'rovi_id:669400968,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":1116,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
957925,448217593,The Last Days,2013,813164,14531378,[{'source_id': '957925'}],"[{'rovi_projectx_id_mapped': 'rovi_id:448217593,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":48,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
957816,108938,Young & Beautiful,2014,528741,108209,"[{'source_projectx_id_mapped': 'rovi_id:534088301,Map_reason:not found in projectx'}, {'source_id': '957816'}]","[{'rovi_projectx_id_mapped': 'rovi_id:108938,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":655,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
958041,2429672,Looking for Eric,2010,101335,2334717,"[{'source_projectx_id_mapped': 'rovi_id:4382677392,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":1287,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '958041'}]","[{'rovi_projectx_id_mapped': 'rovi_id:2429672,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
957965,22254027,Grabbers,2012,120789,120789,,,,,,Pass,Pass
957961,710345451,The Den,2014,146246,146246,,,,,,Pass,Pass
957958,467519307,Dancing in Jaffa,2014,814405,814405,,,,,,Pass,Pass
958018,443495,Breakdown,1997,57848,57848,,,,,,Pass,Pass
958004,1096988460,The Vatican Tapes,2015,137430,137430,,,,,,Pass,Pass
940624,307016700,Stand Up Guys,2012,105576,105576,,,,,,Pass,Pass
941562,16897291,Shakespeare in Love,1999,12266150,12266150,,,,,,Pass,Pass
940161,471711,Rounders,1998,70082,70082,,,,,,Pass,Pass
930092,448356,Hoodlum,1997,51325,51325,,,,,,Pass,Pass
935999,982878496,Airplane II: The Sequel,1983,53320,53320,,,,,,Pass,Pass
930076,427022,Airplane!,1980,66238,66238,,,,,,Pass,Pass
939695,3236560813,Crazy About Tiffany's,2016,304963,304963,,,,,,Pass,Pass
939583,1853428115,Froning: The Fittest Man in History,2015,977929,977929,,,,,,Pass,Pass
939230,1632960348,Addicted to Fresno,2015,930371,930371,,,,,,Pass,Pass
924034,1927348,Into the Blue,2005,72692,72692,,,,,,Pass,Pass
921583,1549209810,Curious George 3: Back to the Jungle,2015,18656,18656,,,,,,Pass,Pass
921582,1100179042,Curious George: A Halloween Boo Fest,2013,17757,17757,,,,,,Pass,Pass
921581,1053993499,Curious George Swings Into Spring,2013,15134,15134,,,,,,Pass,Pass
921585,9193209,Curious George: A Very Monkey Christmas,2009,39665,39665,,,,,,Pass,Pass
921580,8366020,Curious George 2: Follow That Monkey!,2009,6956,6956,,,,,,Pass,Pass
917244,5567745600,The Wiggles Meet the Orchestra,2015,2559491,14402950,[{'source_id': '917244'}],"[{'rovi_projectx_id_mapped': 'rovi_id:5567745600,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":4,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}]",,,False,Fail,Fail
914305,891027509,Tangerines,2013,147526,147526,,,,,,Pass,Pass
906861,856465575,Angelina Ballerina: On with the Show,2014,1878053,1878053,,,,,,Pass,Pass
908497,632807140,Barney: Most Huggable Moments,2012,1838588,1838588,,,,,,Pass,Pass
909398,1179907,Flawless,1999,61239,61239,,,,,,Pass,Pass
909388,1958231,Capote,2005,79197,79197,,,,,,Pass,Pass
911425,22259397,Snowflake The White Gorilla,2013,104338,104338,,,,,,Pass,Pass
909457,738934185,Thomas & Friends: Thomas and the Treasure,2006,1856100,1856100,,,,,,Pass,Pass
909378,1212250725,Kirk Cameron's Saving Christmas,2014,869014,869014,,,,,,Pass,Pass
906700,8861056,Bob the Builder: The Big Game,1984,1449113,14531624,[{'source_id': '906700'}],"[{'rovi_projectx_id_mapped': 'rovi_id:8861056,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":2,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
906708,3493719687,Bob the Builder: Construction Chaos,2014,309645,309645,,,,,,Pass,Pass
906683,4795222847,Bob the Builder: Build It Big!,1984,360930,360930,,,,,,Pass,Pass
906889,812833868,Bob the Builder: Animal Adventures,1984,1868642,14531625,[{'source_id': '906889'}],"[{'rovi_projectx_id_mapped': 'rovi_id:812833868,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":2,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
906685,1009719458,Thomas & Friends: Trouble on the Tracks,2014,1907941,1907941,,,,,,Pass,Pass
906701,743821142,Thomas & Friends: The Thomas Way,2013,1856425,1856425,,,,,,Pass,Pass
906697,16950466,Thomas & Friends: The Lion of Sodor,2010,216991,216991,,,,,,Pass,Pass
906694,738935863,Thomas & Friends: Railway Mischief,2014,1855996,1855996,,,,,,Pass,Pass
906684,335839073,Thomas & Friends: Muddy Matters,2013,1793963,1793963,,,,,,Pass,Pass
906693,568724894,Thomas & Friends: King of the Railway,2013,18278,18278,,,,,,Pass,Pass
906696,327204408,Thomas & Friends: Go Go Thomas!,2013,1787787,1787787,,,,,,Pass,Pass
906691,291879533,Thomas & Friends: Blue Mountain Mystery,2012,101498,101498,,,,,,Pass,Pass
906682,716763633,Thomas & Friends: Animals Aboard!,2013,1852006,1852006,,,,,,Pass,Pass
906690,954822099,Bob the Builder: Let's Build!,2014,1897689,1897689,,,,,,Pass,Pass
906689,3226928522,Bob the Builder: Digging for Treasure,2006,304709,304709,,,,,,Pass,Pass
906675,502098905,Barney: We Love Our Family,2009,1821035,1821035,,,,,,Pass,Pass
906677,18772103,Barney: I Can Do It,2011,1648641,1648641,,,,,,Pass,Pass
906676,1009762610,Barney: Happy Birthday Barney!,2015,1907903,1907903,,,,,,Pass,Pass
906681,19235756,Angelina Ballerina: The Shining Star Trophy,2011,222797,222797,,,,,,Pass,Pass
906688,927359102,Angelina Ballerina: Spring Fling,2014,1891810,1891810,,,,,,Pass,Pass
906835,1081521057,Angelina Ballerina: Perfectly Pink!,2014,267555,267555,,,,,,Pass,Pass
906680,3444386165,Angelina Ballerina: Meet Angelina Ballerina,2004,308500,308500,,,,,,Pass,Pass
