Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
9087,451617,114630,114630,,,,,,Pass,Pass
9088,433884,81839,81839,,,,,,Pass,Pass
9089,1089592,949284,949284,,,,,,Pass,Pass
9090,453714,81794,81794,,,,,,Pass,Pass
9091,435285,55749,55749,,,,,,Pass,Pass
9092,446946,52671,52671,,,,,,Pass,Pass
9093,451686,55894,55894,,,,,,Pass,Pass
9094,2453679,116898,116898,,,,,,Pass,Pass
9095,444098,51229,51229,,,,,,Pass,Pass
9096,453063,78461,78461,,,,,,Pass,Pass
9098,443504,50944,50944,,,,,,Pass,Pass
9099,454874,52079,52079,,,,,,Pass,Pass
9100,1082519,589837,589837,,,,,,Pass,Pass
9101,436739,168911,168911,,,,,,Pass,Pass
9102,423359,50328,50328,,,,,,Pass,Pass
9103,473303,53966,53966,,,,,,Pass,Pass
9104,430008,50650,50650,,,,,,Pass,Pass
9105,447327,67471,67471,,,,,,Pass,Pass
9107,433136,58829,58829,,,,,,Pass,Pass
9109,454628,57071,57071,,,,,,Pass,Pass
9110,435303,50078,50078,,,,,,Pass,Pass
9111,1065536,580539,580539,,,,,,Pass,Pass
9112,424463,89363,89363,,,,,,Pass,Pass
9113,458904,65374,65374,,,,,,Pass,Pass
9114,453263,74016,37666,"[{'74016': 'rovi_id:1076947,Map_reason:not found in projectx'}, {'source_id': '9114,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":0.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]","[{'74016': 'rovi_id:453263,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":76,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
9115,971034989,85100,85100,,,,,,Pass,Pass
9116,435283,49822,49822,,,,,,Pass,Pass
9117,427822,49887,49887,,,,,,Pass,Pass
9118,454629,77770,77770,,,,,,Pass,Pass
