Gb_id,Movie_name,Release_year,Rovi_id,
1174,8 Heads in a Duffel Bag,1997,456632,
1175,Transylvania 6-5000,1985,1073311,
1176,Vamp,1986,436640,
1179,The Land Before Time IX: Journey to Big Water,2002,1487078,
1184,The Knack...and How to Get It,1965,1066208,
1186,The Long Goodbye,1973,1068870,
1199,Frances,1982,425376,
1200,House II: The Second Story,1987,1063982,
1201,House,1986,459325,
1205,Hopscotch,1980,1094578,
1206,Go Tigers!,2001,189823,
1211,Code Unknown,2000,1590087,
1214,Hellraiser,1987,41357,
1215,Flowers in the Attic,1987,824354777,
1216,The Care Bears Movie,1985,1055494,
1217,Stormy Monday,1988,437992,
1219,Hellraiser VI: Hellseeker,2002,1474745,
1225,The Cook The Thief His Wife and Her Lover,1989,448518,
1226,Stealing Harvard,2002,1506310,
1232,Baran,2001,1482914,
1235,Triumph of the Spirit,1989,467288,
1236,Kissing Jessica Stein,2001,1449819,
1239,Donnie Darko,2001,1423846,
1240,Taps,1981,454772,
1242,No Such Thing,2001,1421011,
1243,Clockstoppers,2002,1431015,
1248,Soapdish,1991,426695,
1251,Hard Lessons,1986,1064134,
1252,Monkey Business,1952,449354,
1257,Shaolin Soccer,2001,1658579,
1259,Changing Lanes,2002,1441827,
1268,Slap Shot,1977,1068914,
1270,Slap Shot 2: Breaking the Ice,2002,1404793,
1273,Trees Lounge,1996,443529,
1280,Treasure Planet,2002,1525503,
1282,Bank Shot,1974,1054374,
1285,Interview with the Assassin,2002,1708828,
1286,Far from Heaven,2002,1518139,
1291,The Hours,2002,1544185,
1298,All or Nothing,2002,1498291,
1303,Naqoyqatsi,2002,1585157,
1308,Punch-Drunk Love,2002,1544174,
1309,Angelina Ballerina: Friends Forever,2002,1424675191,
1310,Bowling for Columbine,2002,1552760,
1312,Bloody Sunday,2002,1534266,
1314,Biggie & Tupac,2002,1547205,
1316,Death of a Salesman,1985,1056269,
1318,Eight Crazy Nights,2002,1596629,
1320,Equilibrium,2002,1536802,
1321,Star Trek: Nemesis,2002,1535554,
1322,Max,2002,1539210,
1323,Eddie Izzard: Dress to Kill,1999,221807,
1324,Maid in Manhattan,2002,1518470,
1325,The Wild Thornberrys Movie,2002,1518159,
1326,Nicholas Nickleby,2002,1555177,
1328,Female Perversions,1996,462239,
1332,Jane Eyre,1996,422622,
1334,Citizen Ruth,1996,426805,
1347,A Kiss Before Dying,1956,1060998,
1352,Miller's Crossing,1990,472266,
1358,Anger Management,2003,1561058,
1359,Only the Strong Survive,2002,1619725,
1362,Daddy Day Care,2003,1569899,
1371,Beat Street,1984,435455,
1374,Heavens Above!,1963,1094686,
1423,A Little Sex,1982,434927,
1427,Cry the Beloved Country,1995,472905,
1428,Paper Soldiers,2002,1518176,
1431,Sordid Lives,2000,1555724,
1435,American Me,1992,424908,
1436,Blue in the Face,1995,426757,
1475,S.W.A.T.,2003,1565596,
1496,Bonhoeffer,2003,233371,
1497,Double Indemnity,1944,426837,
1501,The Trials of Henry Kissinger,2002,217115,
1502,Ram Dass: Fierce Grace,2001,212139,
1504,Rain Man,1988,1066671,
1505,Joni Mitchell: Woman of Heart and Mind,2003,17601363,
1506,Duck Soup,1933,429075,
1508,Back to School,1986,430936,
1515,Sgt. Pepper's Lonely Hearts Club Band,1978,430707,
1516,Bob the Builder: Teamwork,2003,5034543800,
1520,I.Q.,1994,11897232,
1525,More American Graffiti,1979,1069797,
1526,The Brave Little Toaster Goes to Mars,1998,1095385,
1529,The Brave Little Toaster to the Rescue,1997,133057,
