Service_name,Link_id,Rovi_id,Projectx_id,Rovi_id_form_reverse_api,Rovi_id_match,Link_expired,Prod_link_status,Projectx_link_status,Link_fetched_from,Fetched_from_sources,Comment
amazon,B07PXHYFDJ,7156720863,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07PV1MG3L,4588075858,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6493700251,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6593122532,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6593122534,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6593122538,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6597490387,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6698942160,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6698942164,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6698942162,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6698942166,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6698958610,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6833441937,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
itunes,67347483,6837493378,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07J25GHS8,6493700251,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,6493700251,6593122538,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,6493700251,6597490387,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07J25GHS8,6698942162,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07J25GHS8,6698942166,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07J25GHS8,6698958610,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07J25GHS8,6833441937,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
amazon,B07J25GHS8,6837493378,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
