Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
360738,863019925,846628,1776546,"[{'1776546': 'rovi_id:310184417,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":0,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.0}'}, {'source_id': '360738,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.0,""directors"":1.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":0.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":23.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.4}'}]","[{'846628': 'rovi_id:863019925,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":0,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.0}'}, {'gb_id': '96246'}]",True,,False,Fail,Fail,False,True
360746,443887826,812691,812691,,,,,,Pass,Pass,,
360796,1063514,579499,14878203,"[{'source_id': '360796,Map_reason:{""color"":0,""language"":0,""credits"":0.6666666667,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":0.9,""run_time"":0,""release_year_diff"":1,""release_year_missing"":0,""run_time_diff"":333,""run_time_missing"":0,""levenshtein_titles"":0.6842105263,""cosine_titles"":0.8528793328,""partial_titles"":0,""id_1"":""projectx:585025"",""id_2"":""vudu:360796"",""score"":2.0504231925}'}]","[{'579499': 'rovi_id:1063514,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":80,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'gb_id': '39873'}]",,,False,Fail,Fail,False,True
360800,1099417,3663,3663,,,,,,Pass,Pass,,
360804,299904273,796244,796244,,,,,,Pass,Pass,,
360808,22254360,105096,105096,,,,,,Pass,Pass,,
360826,17934045,218422,218422,,,,,,Pass,Pass,,
360832,459880,62736,62736,,,,,,Pass,Pass,,
360839,446527,53884,53884,,,,,,Pass,Pass,,
360857,822677960,139183,139183,,,,,,Pass,Pass,,
360861,21805493,812163,812163,,,,,,Pass,Pass,,
360875,1449813,67749,67749,,,,,,Pass,Pass,,
360879,1383944,87064,87064,,,,,,Pass,Pass,,
360933,455857,50997,50997,,,,,,Pass,Pass,,
360937,1096782,78805,78805,,,,,,Pass,Pass,,
360939,1082382,12259329,12259329,,,,,,Pass,Pass,,
360941,426825,80886,80886,,,,,,Pass,Pass,,
360964,19220282,110873,110873,,,,,,Pass,Pass,,
360971,291879533,101498,101498,,,,,,Pass,Pass,,
