Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
21757,11480,504170,504170,,,,,,Pass,Pass
21762,1296673,60558,60558,,,,,,Pass,Pass
21764,1069173,582495,582495,,,,,,Pass,Pass
21769,1296734,58094,58094,,,,,,Pass,Pass
21774,1056754,575795,575795,,,,,,Pass,Pass
21782,15579,52723,52723,,,,,,Pass,Pass
21784,1090672,50605,50605,,,,,,Pass,Pass
21789,1307396,83770,13458961,"[{'83770': 'rovi_id:7097913942,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":158,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'source_id': '21789,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":20,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13458961"",""id_2"":""vudu:21789"",""score"":3.4}'}]","[{'83770': 'rovi_id:1307396,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":8,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
21790,1001757388,59696,59696,,,,,,Pass,Pass
21792,1054456,574860,574860,,,,,,Pass,Pass
21815,6808105997,1086190,1086190,,,,,,Pass,Pass
21834,982878480,56570,56570,,,,,,Pass,Pass
21838,1307424,60572,60572,,,,,,Pass,Pass
21847,996015027,54643,54643,,,,,,Pass,Pass
21849,449125,59126,59126,,,,,,Pass,Pass
21852,436839,56455,56455,,,,,,Pass,Pass
21900,1307511,59627,59627,,,,,,Pass,Pass
21903,1317913,15222,15222,,,,,,Pass,Pass
21907,1480432,190793,78915,"[{'190793': 'rovi_id:1315890,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":12,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '21907,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":15.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.4}'}]","[{'190793': 'rovi_id:1480432,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":584,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
21908,1318419,611825,611825,,,,,,Pass,Pass
21917,433529,55177,55177,,,,,,Pass,Pass
21918,1307586,57115,57115,,,,,,Pass,Pass
21923,436818,50838,13708134,"[{'50838': 'rovi_id:4883982320,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":98,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '21923,Map_reason:{""color"":0,""language"":0,""credits"":0.8888888889,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":38,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13708134"",""id_2"":""vudu:21923"",""score"":3.3444444444}'}]","[{'50838': 'rovi_id:436818,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
21970,1307529,611174,611174,,,,,,Pass,Pass
21991,1066154,580869,580869,,,,,,Pass,Pass
21994,436316,604625,604625,,,,,,Pass,Pass
22028,1315906,73394,73394,,,,,,Pass,Pass
22033,1315873,62319,62319,,,,,,Pass,Pass
22066,423075,566896,566896,,,,,,Pass,Pass
22079,434993,78465,78465,,,,,,Pass,Pass
22102,1320119,78065,78065,,,,,,Pass,Pass
22110,436814,50671,50671,,,,,,Pass,Pass
22112,1315899,58962,58962,,,,,,Pass,Pass
