Hulu_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping
658331,12223115,Tetsuo: The Bullet Man,2011,668451,14618446,"[{'source_id': '658331,Map_reason:new'}]","[{'668451': 'rovi_id:12223115,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8888888888888888,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":6,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
657720,2292192,Flight of the Red Balloon,2007,98739,98739,,,,,,Pass,Pass
643505,2494418,Food Inc.,2009,89953,89953,,,,,,Pass,Pass
636761,1018125307,Jiro Dreams of Sushi,2012,150569,150569,,,,,,Pass,Pass
665441,432379385,Ron White: A Little Unprofessional,2012,1813140,1813140,,,,,,Pass,Pass
614016,67506117,It's a Disaster,2013,121982,121982,,,,,,Pass,Pass
630023,1506315,Rules of Attraction,2002,98803,98803,,,,,,Pass,Pass
617167,451461,Dirty Rotten Scoundrels,1988,50124,50124,,,,,,Pass,Pass
615221,427239,The Silence of the Lambs,1991,46608,46608,,,,,,Pass,Pass
603799,1085389,Akira,1988,[107764],[107764],,,,,,Pass,Pass
603800,1085389,Akira,1988,107764,107764,,,,,,Pass,Pass
