source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,233404,1472,233404,,School Rumble,,2004,FALSE,[4153119],,,,"('No multiple ids for this link', 233404, 1472)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,229500,4830,[],,Trigun,,1998,FALSE,"[5023921, 14411187]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,228903,4156,[],,Sonic X,,2003,FALSE,"[13405472, 8370028]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,227689,5574,[],,Chrome Shelled Regios,,2009,FALSE,"[7144835, 14411033]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,227504,4136,227504,,Initial D,,1998,FALSE,[14412284],,,,"('No multiple ids for this link', 227504, 4136)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,226584,6231,226584,,Daria,,1997,FALSE,[4032510],,,,"('No multiple ids for this link', 226584, 6231)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,225012,5638,225012,,Yu-Gi-Oh!,,2001,FALSE,[13409593],,,,"('No multiple ids for this link', 225012, 5638)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,223468,4034,[],,Black Cat,,2008,FALSE,"[5399415, 14619014]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,223467,6014,[],,FLCL,,2003,FALSE,"[14410873, 14803166]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,221223,2442,221223,,Greek,,2007,FALSE,[5360602],,,,"('No multiple ids for this link', 221223, 2442)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,220217,1379,[],,Corpse Princess,,2008,FALSE,"[7011567, 14413258]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
