series_id,_id,show_type,Video_language,series_type,type,duration
6026,229072,SE,en,TV,episode,2610066
53,229045,SE,en,TV,episode,1313187
2458,229043,SE,en,TV,episode,2610041
6131,228892,SE,en,TV,episode,1471069
4156,228903,SE,ja,TV,episode,1454252
3433,228786,SE,en,TV,episode,1209458
1318,228699,SE,ja,TV,episode,1456788
2411,228704,SE,en,TV,episode,2654152
389,228545,SE,en,TV,episode,2581704
5725,228710,SE,en,TV,episode,2521269
2138,228316,SE,ja,TV,episode,1418417
6287,228085,SE,ja,TV,episode,1483524
3615,228012,SE,en,TV,episode,2559048
4830,228001,SE,en,TV,episode,1491490
4830,227999,SE,en,TV,episode,1487319
4830,227998,SE,en,TV,episode,1488779
4830,227997,SE,en,TV,episode,1488946
1472,227996,SE,ja,TV,episode,1428427
1472,227977,SE,ja,TV,episode,1428386
5094,227778,SE,ja,TV,episode,1485735
5094,227780,SE,ja,TV,episode,1485651
3263,227760,SE,en,TV,episode,2629084
5669,227705,SE,ja,TV,episode,1488528
5669,227704,SE,ja,TV,episode,1488570
1268,227703,SE,ja,TV,episode,1437135
1268,227702,SE,ja,TV,episode,1437135
1473,227701,SE,ja,TV,episode,1357939
1473,227700,SE,ja,TV,episode,1357981
1846,227699,SE,ja,TV,episode,1463128
1846,227698,SE,ja,TV,episode,1463086
1472,227696,SE,ja,TV,episode,1468425
1472,227695,SE,ja,TV,episode,1468425
5574,227689,SE,en,TV,episode,1542499
5574,227688,SE,en,TV,episode,1544417
5574,227687,SE,en,TV,episode,1454494
5574,227680,SE,en,TV,episode,1454494
5597,227638,SE,en,TV,episode,2610316
2313,227636,SE,en,TV,episode,2550089
2259,227635,SE,en,TV,episode,2605311
2295,227633,SE,en,TV,episode,1303344
10,227632,SE,en,TV,episode,2623621
4910,227630,SE,en,TV,episode,1300466
54,227629,SE,en,TV,episode,1312019
2295,227628,SE,en,TV,episode,1283366
3897,227626,SE,en,TV,episode,2590921
4136,227504,SE,en,TV,episode,1408490
4136,227503,SE,en,TV,episode,1408490
177,227490,SE,en,TV,episode,3308905
1603,227184,SE,ja,TV,episode,1399765
3433,227027,SE,en,TV,episode,1273605
2430,226904,SE,en,TV,episode,2641805
2411,226872,SE,en,TV,episode,2534448
1318,226736,SE,ja,TV,episode,1455787
6026,226702,SE,en,TV,episode,2605060
389,226370,SE,en,TV,episode,2482229
2458,226365,SE,en,TV,episode,2610107
2138,226124,SE,ja,TV,episode,1418417
6231,226584,SE,en,TV,episode,1261994
6231,226583,SE,en,TV,episode,1258323
6231,226608,SE,en,TV,episode,1252684
6231,226582,SE,en,TV,episode,1278977
6231,226607,SE,en,TV,episode,1192691
6231,226606,SE,en,TV,episode,1254887
6231,226605,SE,en,TV,episode,1258090
6231,226604,SE,en,TV,episode,1244743
6231,226603,SE,en,TV,episode,1244977
6231,226602,SE,en,TV,episode,1257756
6231,226601,SE,en,TV,episode,1282848
6231,226600,SE,en,TV,episode,1287586
6231,226599,SE,en,TV,episode,1251150
6231,226598,SE,en,TV,episode,1258724
6231,226597,SE,en,TV,episode,1256588
6231,226596,SE,en,TV,episode,1249648
6231,226595,SE,en,TV,episode,1259358
6231,226594,SE,en,TV,episode,1270536
6231,226593,SE,en,TV,episode,1235667
6231,226592,SE,en,TV,episode,1255554
6231,226591,SE,en,TV,episode,1253118
6231,226590,SE,en,TV,episode,1283482
6231,226589,SE,en,TV,episode,1251450
6231,226588,SE,en,TV,episode,1222321
6231,226587,SE,en,TV,episode,1242975
6231,226586,SE,en,TV,episode,1252484
6231,226632,SE,en,TV,episode,1250115
6231,226631,SE,en,TV,episode,1233699
6231,226630,SE,en,TV,episode,1237136
6231,226581,SE,en,TV,episode,1297329
6231,226580,SE,en,TV,episode,1227726
6231,226579,SE,en,TV,episode,1331263
6231,226578,SE,en,TV,episode,1345177
6231,226577,SE,en,TV,episode,1300532
6231,226576,SE,en,TV,episode,1230829
6231,226575,SE,en,TV,episode,1286819
6231,226574,SE,en,TV,episode,1307339
6231,226573,SE,en,TV,episode,1300232
6231,226572,SE,en,TV,episode,1291990
6231,226571,SE,en,TV,episode,1312144
6231,226570,SE,en,TV,episode,1271069
6231,226569,SE,en,TV,episode,1280746
6231,226568,SE,en,TV,episode,1246044
6231,226567,SE,en,TV,episode,1258957
6231,226566,SE,en,TV,episode,1249948
6231,226629,SE,en,TV,episode,1231396
6231,226628,SE,en,TV,episode,1253452
6231,226627,SE,en,TV,episode,1247713
6231,226626,SE,en,TV,episode,1249081
389,225863,SE,en,TV,episode,2647478
389,225862,SE,en,TV,episode,2612776
389,225861,SE,en,TV,episode,2574238
389,225860,SE,en,TV,episode,2516472
389,225859,SE,en,TV,episode,2479643
389,225858,SE,en,TV,episode,2596594
6231,226585,SE,en,TV,episode,1254386
6231,226625,SE,en,TV,episode,1247146
6231,226624,SE,en,TV,episode,1252117
6231,226623,SE,en,TV,episode,1247079
6231,226622,SE,en,TV,episode,1285584
6231,226621,SE,en,TV,episode,1232731
6231,226620,SE,en,TV,episode,1281180
6231,226619,SE,en,TV,episode,1248180
6231,226618,SE,en,TV,episode,1242074
6231,226617,SE,en,TV,episode,1252284
6231,226616,SE,en,TV,episode,1242508
6231,226615,SE,en,TV,episode,1237503
6231,226614,SE,en,TV,episode,1275073
6231,226613,SE,en,TV,episode,1258157
6231,226612,SE,en,TV,episode,1251750
6231,226611,SE,en,TV,episode,1244276
3433,225748,SE,en,TV,episode,1290747
3615,225723,SE,en,TV,episode,2569896
3263,225548,SE,en,TV,episode,2620367
57,225443,SE,en,TV,episode,2632195
4910,225439,SE,en,TV,episode,1301424
53,225438,SE,en,TV,episode,1313353
77,225437,SE,en,TV,episode,3460590
2505,225304,SE,en,TV,episode,1240697
1968,225300,SE,en,TV,episode,1289913
5597,225295,SE,en,TV,episode,2610149
2313,225293,SE,en,TV,episode,2581161
4910,225292,SE,en,TV,episode,1303510
54,225291,SE,en,TV,episode,1313395
44,225129,SE,en,TV,episode,1296962
2295,225068,SE,en,TV,episode,1303343
5725,225056,SE,en,TV,episode,2522227
5638,225012,SE,en,TV,episode,1271069
4156,224983,SE,ja,TV,episode,1454753
4156,224982,SE,ja,TV,episode,1455387
5725,225055,SE,en,TV,episode,2522478
4948,225081,SE,en,TV,episode,1296920
1473,224918,SE,ja,TV,episode,1357939
1473,224917,SE,ja,TV,episode,1357981
1268,224902,SE,ja,TV,episode,1437135
1268,224901,SE,ja,TV,episode,1437135
5669,224900,SE,ja,TV,episode,1488528
5669,224899,SE,ja,TV,episode,1488611
5094,224898,SE,ja,TV,episode,1485734
5094,224897,SE,ja,TV,episode,1485650
1846,224896,SE,ja,TV,episode,1463128
1846,224895,SE,ja,TV,episode,1463044
57,224827,SE,en,TV,episode,2632195
1472,224894,SE,ja,TV,episode,1428385
1472,224893,SE,ja,TV,episode,1468425
1472,224892,SE,ja,TV,episode,1428426
1472,224891,SE,ja,TV,episode,1468466
44,222875,SE,en,TV,episode,1297212
1968,224777,SE,en,TV,episode,1290163
1603,224671,SE,ja,TV,episode,1399798
6131,224860,SE,en,TV,episode,1470802
6131,224859,SE,en,TV,episode,1471403
1318,224640,SE,ja,TV,episode,1455787
4979,224292,SE,en,TV,episode,1274740
5638,224601,SE,en,TV,episode,1264496
4979,224291,SE,en,TV,episode,1357389
6131,224858,SE,en,TV,episode,1470802
3433,224167,SE,en,TV,episode,1212377
2458,224090,SE,en,TV,episode,2610107
5638,223956,SE,en,TV,episode,1224156
5638,223955,SE,en,TV,episode,1237970
5638,223954,SE,en,TV,episode,1281213
5638,223953,SE,en,TV,episode,1280646
5638,223952,SE,en,TV,episode,1279978
5638,223951,SE,en,TV,episode,1280712
5638,223950,SE,en,TV,episode,1276008
5638,223949,SE,en,TV,episode,1281680
5638,223948,SE,en,TV,episode,1277309
3615,223916,SE,en,TV,episode,2554296
1322,223707,SE,en,TV,episode,2644275
3263,223693,SE,en,TV,episode,2615863
5669,223480,SE,ja,TV,episode,1488570
1268,223479,SE,ja,TV,episode,1437135
5669,223478,SE,ja,TV,episode,1488611
1268,223477,SE,ja,TV,episode,1437135
1473,223476,SE,ja,TV,episode,1357981
1473,223475,SE,ja,TV,episode,1357856
1846,223474,SE,ja,TV,episode,1463086
1846,223473,SE,ja,TV,episode,1463128
1472,223472,SE,ja,TV,episode,1428385
1472,223471,SE,ja,TV,episode,1468466
1472,223470,SE,ja,TV,episode,1428385
1472,223469,SE,ja,TV,episode,1468466
4034,223468,SE,ja,TV,episode,1467882
6014,223467,SE,ja,TV,episode,1427884
4034,223466,SE,ja,TV,episode,1442941
5094,223465,SE,ja,TV,episode,1485608
6014,223464,SE,ja,TV,episode,1865321
5094,223463,SE,ja,TV,episode,1485567
2295,223304,SE,en,TV,episode,1298171
2138,223203,SE,ja,TV,episode,1448446
1603,223234,SE,ja,TV,episode,1399731
1322,223050,SE,en,TV,episode,2646710
389,222984,SE,en,TV,episode,2475823
389,222983,SE,en,TV,episode,2521977
5638,222914,SE,en,TV,episode,1274573
4979,222912,SE,en,TV,episode,1275174
5597,222886,SE,en,TV,episode,2610399
2313,222885,SE,en,TV,episode,2610149
2505,222878,SE,en,TV,episode,1280570
10,222873,SE,en,TV,episode,2637092
57,222872,SE,en,TV,episode,2632728
3615,222753,SE,en,TV,episode,2558808
4979,222711,SE,ja,TV,episode,1400799
4979,222710,SE,ja,TV,episode,1400666
1318,222596,SE,ja,TV,episode,1454786
3263,222554,SE,en,TV,episode,2620367
5638,222553,SE,en,TV,episode,1279545
3356,222490,SE,en,TV,episode,2591964
5725,226701,SE,en,TV,episode,2526398
2138,222285,SE,ja,TV,episode,1418417
5638,222301,SE,en,TV,episode,1254686
5638,222284,SE,en,TV,episode,1280279
5638,222257,SE,en,TV,episode,1280112
5638,222256,SE,en,TV,episode,1281580
5638,222258,SE,en,TV,episode,1274673
5638,222255,SE,en,TV,episode,1273605
2138,222247,SE,ja,TV,episode,1448613
5004,222283,SE,en,TV,episode,2648245
5638,222232,SE,en,TV,episode,1281180
5638,222034,SE,en,TV,episode,1281446
5638,222032,SE,en,TV,episode,1280212
5638,222031,SE,en,TV,episode,1247846
5638,222030,SE,en,TV,episode,1252117
5638,222028,SE,en,TV,episode,1250282
5638,222029,SE,en,TV,episode,1250082
5725,222190,SE,en,TV,episode,2522811
77,221882,SE,en,TV,episode,2909306
1318,221880,SE,ja,TV,episode,1456822
1603,221879,SE,ja,TV,episode,1399731
4034,221619,SE,ja,TV,episode,1467882
4034,221618,SE,ja,TV,episode,1467882
6014,221617,SE,ja,TV,episode,1417707
5094,221616,SE,ja,TV,episode,1485608
6014,221615,SE,ja,TV,episode,1504919
5669,221614,SE,ja,TV,episode,1488570
5094,221613,SE,ja,TV,episode,1485567
1268,221612,SE,ja,TV,episode,1437135
5669,221611,SE,ja,TV,episode,1488486
1268,221610,SE,ja,TV,episode,1437135
1473,221609,SE,ja,TV,episode,1357939
1473,221608,SE,ja,TV,episode,1357898
1846,221607,SE,ja,TV,episode,1463128
1846,221606,SE,ja,TV,episode,1463128
1472,221605,SE,ja,TV,episode,1428426
1472,221604,SE,ja,TV,episode,1468466
1472,221603,SE,ja,TV,episode,1428426
1472,221602,SE,ja,TV,episode,1468466
5638,221522,SE,en,TV,episode,1281914
5638,221521,SE,en,TV,episode,1281980
5638,221520,SE,en,TV,episode,1281046
5638,221519,SE,en,TV,episode,1271570
5638,221504,SE,en,TV,episode,1279444
5638,221503,SE,en,TV,episode,1280612
2138,221498,SE,ja,TV,episode,1448446
2259,221384,SE,en,TV,episode,2610190
2305,221383,SE,en,TV,episode,2559098
6131,224857,SE,en,TV,episode,1472571
2442,221223,SE,en,TV,episode,2763677
5638,221317,SE,en,TV,episode,1277342
5638,221316,SE,en,TV,episode,1278477
5638,221315,SE,en,TV,episode,1282047
5638,220989,SE,en,TV,episode,1278610
5638,220988,SE,en,TV,episode,1277609
5638,220987,SE,en,TV,episode,1255087
5638,220986,SE,en,TV,episode,1282114
5638,220985,SE,en,TV,episode,1281880
5638,220984,SE,en,TV,episode,1281780
3433,220973,SE,en,TV,episode,1245369
3615,220705,SE,en,TV,episode,2540376
5638,220567,SE,en,TV,episode,1279745
5638,220566,SE,en,TV,episode,1278811
5638,220565,SE,en,TV,episode,1272671
5638,220564,SE,en,TV,episode,1275774
5638,220563,SE,en,TV,episode,1272237
177,220544,SE,en,TV,episode,2647211
3356,220285,SE,en,TV,episode,2596009
5638,220277,SE,en,TV,episode,1280746
1379,220217,SE,en,TV,episode,1433431
5638,220243,SE,en,TV,episode,1281046
5638,220150,SE,en,TV,episode,1282815
5638,220149,SE,en,TV,episode,1281547
5638,220148,SE,en,TV,episode,1279311
5638,220147,SE,en,TV,episode,1281413
5638,220146,SE,en,TV,episode,1280679
5638,220145,SE,en,TV,episode,1281647
5638,220144,SE,en,TV,episode,1271136
1472,220141,SE,ja,TV,episode,1468466
4136,220140,SE,en,TV,episode,1508381
