HuluSeriesId,Ozone series id
44136,5837494856
19496,1097866694
20220,9882409
43144,5391527173
43114,4625328013
22882,18045939
42807,4455645343
105,2165623
35077,3996871284
1952,1693284
17991,982843766
9801,1673581
35903,1613846338
21479,1327041907
42761,6318536744
30681,3246213661
42704,5675585513
25323,4272569422
43210,5791377224
29165,3209082878
29402,6899551219
42445,2189760
42739,1672496
16397,19737724
3711,9898869
5004,17094610
35558,1700580783
8108,17265692
36283,1476389597
36444,3357386422
53,1772812
43239,6609745251
5632,17999699
30579,1443670102
27765,936226059
2107,2136156
34540,8468965
9018,22242682
5040,10201515
38956,6786060814
20145,525742851
36126,5501901336
8742,540054093
39436,6015584108
7218,19704743
30932,4698165191
3356,8240941
35473,4844405202
38484,5849850565
33922,4101455323
38,17537987
42089,1772638
41592,6731802411
42555,4129841724
43750,1539923378
31145,4334413915
41985,2001738
1534,2174288
30576,545323707
177,1933657
12896,334198639
41931,5127978298
30551,1501835939
28926,1547449526
30169,1539704524
42230,4261351517
55,424455
37503,5830218262
36741,5732464675
19925,1140832592
23897,1191253871
41237,6495577611
22416,12515919
32,486936
290,508610
34,2124203
41090,362032898
30799,3524468527
41642,12009660
1603,9101122
2006,2350601
34517,1350002632
23200,66763055
1322,2350577
22189,1245706705
11908,556694697
40307,5322506004
29920,4579185421
31283,1373921574
31305,727626046
31985,3927303384
40319,5905364878
11196,1843946
21723,874705204
34855,1854020029
14516,661156610
41179,4733572243
16401,526541224
41132,1089763039
41141,362033065
4479,3487139560
34062,1339714898
31124,18012765
34140,5073126416
33789,3958169892
1251,1111132
3543,1992960
31165,1875795984
41114,4507943732
40678,5642266721
28830,3432828711
41265,1394193512
3966,2307066
20221,1762428
41227,5081818044
41288,5239558824
41197,5637745332
41194,5191292132
26381,1952213963
29812,1938681649
31583,3223872587
19899,1186263201
18232,212743
6561,17707064
32787,1921449393
30524,3227333584
27489,4092282937
20725,310172451
27771,863977799
30484,3318171758
7795,18851501
40002,5917517421
23898,806354930
26768,1219877239
36519,3754444766
39126,5843470973
17768,500671538
34059,4733252631
23170,1285008503
28662,840112435
28944,3958608413
40414,1703729789
40280,6354089128
29984,461330965
15896,770326629
18970,1064496126
39780,480118
35100,6007610610
27451,4160161076
18114,18040876
30894,4166108032
11226,66762694
36183,1308634
33985,4027704213
25870,1468613896
11997,2224158
27575,1393536880
25303,1081655877
10890,2373513
11235,299932988
30923,1389607597
31297,3254988480
31981,1362417580
31373,66290102
28446,3541524153
16752,637365240
31294,4310580301
11958,16889242
13400,378338644
8861,18040773
39706,1768806
13597,361732170
39583,19185063
8733,19104057
1287,2144706
22750,1449566103
39705,1443547418
23016,1443547132
17214,732428186
39662,1163311698
3983,416298
39657,4588137954
24517,1775684580
31331,927357218
34167,5085416019
31894,3394780578
34013,4540561500
39701,3529732257
30817,3297781858
31787,3639766913
30708,4153433459
30641,4373767962
35831,4113959532
30617,4101455317
31050,3277855601
39656,3302654582
35047,3569623729
21985,1046915455
39641,3569618419
39642,3950194039
39361,1146683
39967,5631874217
9518,22443076
39660,3569616532
18949,964114751
39424,293475231
22881,841399567
29758,3288924559
39095,18189268
39397,4508200279
32869,3233144447
29991,3162925257
36376,4644655055
39019,5345378070
29428,3424621495
31228,1316325376
16094,1095959
12854,1649542371
63,1833819
30558,3545775753
38499,5959095581
16383,19678672
19924,17972741
20111,2432819
20898,561774475
16406,2452348
17619,2222160
29427,1490457853
17976,1800074
20348,13690463
29482,1230825440
21722,2020459
29755,4180895580
16403,1496959
9137,931231
14972,527893388
39378,1408223775
38550,12091955
31332,297633806
26656,512463271
31360,475185344
31359,1628330161
65,129499
17193,364404024
13943,362327383
13710,331861562
29978,4201481310
26510,3157300991
5422,1652356
11097,2121843
28654,1352271299
28407,1672731652
12745,1702819
39117,5464667973
9338,1321248
37605,6089948606
17861,2491249
2646,2490772
15730,945674413
35555,3941891576
36785,5334812122
36707,5528372725
38325,3233172879
36292,1775469558
2400,1672492
31649,3241587189
30840,4455474232
36194,426596
9499,2138418
6618,13987012
1768,2314067
28405,3391865718
12138,291108286
35740,1106509
28172,312574760
30011,4387128769
36348,129162
28461,3233111776
36122,689287406
6475,9907487
6902,14735363
36218,1945933837
28460,3537445761
14114,535046845
23481,678340079
13588,4493604648
11248,66911118
27694,1285376321
35745,4730546571
1221,1561837
35788,424719
35763,1418323
35550,423354738
28313,3448371359
11709,556695462
1349,1174114411
28729,5282208523
7936,944521780
35197,284006
443,423684
21475,1123597025
19276,1198107253
29745,2096525418
20147,1318363996
18217,1105554128
25292,3591543502
9158,12400185
28771,3675674470
44,2001298
38397,546733009
2276,2444634
46,1836145
15643,384301517
34744,819428
829,471861
33388,436769
34324,1501846010
33696,423503
34600,878911
22638,18938617
28821,1350002632
21721,312574693
1504,1309451
34488,423501
34486,423494
34356,1878857
34076,1211196023
34310,5359635015
16806,19953585
23141,1309725979
1721,2406698
23848,1482900873
34192,1529514919
799,1835235
16871,434998384
17967,586882462
15054,655464834
30422,2017591238
30602,1335651342
19165,67129987
22017,477931481
34087,806576751
31764,22520950
10297,66120223
22278,16602088
27445,1705499150
31843,380950525
31325,1301493588
27466,3232633532
31057,1884285387
31707,2374300
31757,895801249
31786,862176034
32339,702263
31563,423416
23315,435680
28175,1921453890
8815,19104020
31298,22030252
37,334142
31484,571606884
28285,1705498672
11154,67507801
27186,1517457357
25348,3310286744
10498,695928698
22171,22423691
31029,923243443
31102,4524296655
32341,4366067439
24857,1519092102
23009,1120301682
18637,1064496125
31031,1029087865
27491,21492230
28308,1536530394
30150,4708975339
29675,3256915450
15138,546339786
10,1836155
19145,13742906
6341,18765804
29716,3519514977
30271,2364263
30021,3565267893
28055,2001885398
29890,555620631
24357,447842
23971,3459985439
12103,333627570
12104,506526069
20160,1239609414
20501,1398127281
13951,662768752
29617,1886128
21550,1490454138
16924,902519422
14455,66762570
4136,279060
8803,17982104
29524,425050
29460,776204630
27828,1046828564
23134,1270837296
29459,3633459857
29326,2204571
29438,327207867
20357,21977561
29083,16852305
16391,2467064
22414,1000646061
16535,1093498706
18314,13917226
25355,644305502
2388,2468426
29164,4074068454
29148,3217949085
