GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
27801,1426298284,9325234,14783013,[{'sourceId': '27801'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1426298284,Map_reason:not found in projectx'}, {'sourceId': '51201,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":1.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":0.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":1.0,""run_time_diff"":0.0,""run_time_missing"":1.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":4.0}'}]",,True,False,Fail,Fail
27796,1046915501,3997002,3997002,,,,,,Pass,Pass
26909,1209816482,3720711,3720711,,,,,,Pass,Pass
27518,1046915122,3901595,3901595,,,,,,Pass,Pass
19287,1352142797,3717506,3717506,,,,,,Pass,Pass
28197,1406073269,3750474,3750474,,,,,,Pass,Pass
28252,12030030,2942237,2942237,,,,,,Pass,Pass
28079,211159,3549941,3549941,,,,,,Pass,Pass
19186,1046914033,8874667,8874667,,,,,,Pass,Pass
28356,1466861535,9361536,9361536,,,,,,Pass,Pass
14794,14237872,3141819,3141819,,,,,,Pass,Pass
19447,622653394,3711398,3711398,,,,,,Pass,Pass
27912,1274784408,9136212,9136212,,,,,,Pass,Pass
28284,1053470645,3844404,3844404,,,,,,Pass,Pass
28690,1902561063,3362931,3362931,,,,,,Pass,Pass
28715,5233969182,11261408,11261408,,,,,,Pass,Pass
24826,1331960368,9236460,9236460,,,,,,Pass,Pass
28798,1653023635,9463536,13259999,[{'sourceId': '28798'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1653023635,Map_reason:not found in projectx'}]",,,False,Fail,Fail
28802,3559158732,10387378,10387378,,,,,,Pass,Pass
16217,67347444,3704296,3704296,,,,,,Pass,Pass
28829,1274767896,9136174,9136174,,,,,,Pass,Pass
24828,1457538057,3934472,3934472,,,,,,Pass,Pass
26521,1115985839,3523764,3523764,,,,,,Pass,Pass
29248,11810425,5630500,5630500,,,,,,Pass,Pass
20306,1053480823,3770217,3770217,,,,,,Pass,Pass
30105,21702432,3367090,14662046,[{'sourceId': '30105'}],"[{'rovi_projectx_id_mapped': 'rovi_id:21702432,Map_reason:not found in projectx'}]",,,False,Fail,Fail
29227,1538366608,3773422,3773422,,,,,,Pass,Pass
14894,301456007,7877700,7877700,,,,,,Pass,Pass
23240,509982750,8176989,8176989,,,,,,Pass,Pass
31629,1954497623,10011216,10011216,,,,,,Pass,Pass
29223,1264047511,3777170,3777170,,,,,,Pass,Pass
31705,4113851839,10573127,10573127,,,,,,Pass,Pass
31715,1547451878,3709377,3709377,,,,,,Pass,Pass
