Vudu_series_id,Vudu_id,show_type,purchase_type
0,289113,MO,True
0,289117,MO,True
0,289119,MO,True
0,289121,MO,True
0,289125,MO,True
0,289129,MO,True
0,289133,MO,True
0,289137,MO,True
0,289141,MO,True
0,289143,MO,True
0,289263,MO,True
0,289265,MO,True
0,289267,MO,True
0,289269,MO,True
0,289271,MO,True
0,289273,MO,True
0,289275,MO,True
0,289279,MO,True
0,289281,MO,True
0,289285,MO,True
0,289289,MO,True
0,289291,MO,True
0,289293,MO,True
0,289295,MO,True
0,289297,MO,True
288615,289301,SE,Null
0,289351,MO,True
288615,289405,SE,Null
288615,289408,SE,Null
288615,289411,SE,Null
288615,289413,SE,Null
288615,289415,SE,Null
288615,289417,SE,Null
288615,289419,SE,Null
288615,289421,SE,Null
288615,289423,SE,Null
288615,289425,SE,Null
0,289437,SM,Null
281395,289558,SE,True
0,289563,MO,True
281395,289581,SE,True
281395,289589,SE,True
281395,289593,SE,True
281395,289595,SE,True
281395,289597,SE,True
281395,289599,SE,True
281395,289609,SE,True
281395,289611,SE,True
281395,289617,SE,True
281395,289625,SE,True
281395,289631,SE,True
281395,289633,SE,True
202664,289687,SE,True
202664,289693,SE,True
0,289736,SM,Null
0,289740,MO,True
0,289744,MO,True
227191,289749,SE,True
227191,289756,SE,True
227191,289760,SE,True
227191,289764,SE,True
227191,289768,SE,True
227191,289772,SE,True
227191,289776,SE,True
227191,289780,SE,True
227191,289784,SE,True
227191,289788,SE,True
0,289796,SM,Null
0,289799,SM,Null
0,289800,SM,Null
0,289801,SM,Null
0,289803,SM,Null
289803,289805,SE,True
289803,289812,SE,True
289803,289816,SE,True
289803,289820,SE,True
289803,289825,SE,True
289803,289832,SE,True
289803,289836,SE,True
289803,289840,SE,True
289803,289844,SE,True
289803,289848,SE,True
0,289852,SM,Null
0,289853,SM,Null
0,289854,SM,Null
0,289855,SM,Null
289855,289885,SE,True
289855,289892,SE,True
289855,289896,SE,True
289855,289900,SE,True
289855,289904,SE,True
289855,289908,SE,True
0,289912,SM,Null
289912,289914,SE,Null
289912,289917,SE,Null
289912,289919,SE,Null
289912,289921,SE,Null
289912,289923,SE,Null
289912,289925,SE,Null
289912,289928,SE,Null
289912,289931,SE,Null
289912,289933,SE,Null
289912,289935,SE,Null
289912,289937,SE,Null
289912,289939,SE,Null
0,289941,SM,Null
0,289942,SM,Null
0,289943,SM,Null
289943,289945,SE,Null
289943,289952,SE,Null
289943,289956,SE,Null
289943,289960,SE,Null
289943,289964,SE,Null
289943,289968,SE,Null
289943,289972,SE,Null
289943,289976,SE,Null
0,290052,SM,Null
290052,290054,SE,True
290052,290057,SE,True
290052,290059,SE,True
290052,290061,SE,True
290052,290063,SE,True
290052,290065,SE,True
290052,290068,SE,True
290052,290071,SE,True
290052,290073,SE,True
290052,290075,SE,True
290052,290077,SE,True
290052,290079,SE,True
290052,290082,SE,True
290052,290085,SE,True
290052,290087,SE,True
290052,290089,SE,True
290052,290091,SE,True
290052,290093,SE,True
290052,290096,SE,True
290052,290099,SE,True
290052,290101,SE,True
290052,290103,SE,True
290052,290105,SE,True
290052,290107,SE,True
290052,290109,SE,True
290052,290112,SE,True
221731,290117,SE,True
221731,290119,SE,True
221731,290121,SE,True
221731,290123,SE,True
221731,290125,SE,True
221731,290127,SE,True
221731,290129,SE,True
221731,290131,SE,True
221731,290133,SE,True
221731,290135,SE,True
0,290141,SM,Null
290141,290142,SE,Null
290141,290146,SE,Null
259305,290194,SE,True
259305,290198,SE,True
266601,290202,SE,True
271773,290204,SE,True
273767,290208,SE,True
132909,290216,SE,True
132909,290220,SE,True
132909,290224,SE,True
132909,290228,SE,True
132909,290232,SE,True
132909,290236,SE,True
132909,290240,SE,True
132909,290244,SE,True
132909,290248,SE,True
132909,290252,SE,True
132909,290256,SE,True
132909,290260,SE,True
132909,290264,SE,True
290324,290272,SE,True
290324,290276,SE,True
290324,290280,SE,True
290324,290284,SE,True
290324,290288,SE,True
290324,290292,SE,True
290324,290296,SE,True
290324,290300,SE,True
290324,290304,SE,True
290324,290308,SE,True
290324,290312,SE,True
290324,290316,SE,True
0,290324,SM,Null
231880,290325,SE,True
231880,290329,SE,True
231880,290333,SE,True
231880,290337,SE,True
231880,290341,SE,True
231880,290345,SE,True
231880,290349,SE,True
290861,290357,SE,True
290861,290361,SE,True
290861,290365,SE,True
290861,290369,SE,True
290861,290373,SE,True
290861,290377,SE,True
290861,290381,SE,True
290861,290385,SE,True
290861,290389,SE,True
290861,290393,SE,True
290861,290397,SE,True
290861,290401,SE,True
290861,290409,SE,True
290861,290413,SE,True
290861,290417,SE,True
290861,290421,SE,True
290861,290425,SE,True
290861,290429,SE,True
290861,290433,SE,True
290861,290437,SE,True
290861,290441,SE,True
290861,290445,SE,True
290861,290449,SE,True
290861,290453,SE,True
290861,290461,SE,True
290861,290465,SE,True
290861,290469,SE,True
290861,290473,SE,True
290861,290477,SE,True
290861,290481,SE,True
290861,290485,SE,True
290861,290489,SE,True
290861,290493,SE,True
290861,290497,SE,True
290861,290501,SE,True
290861,290505,SE,True
290967,290513,SE,True
290967,290517,SE,True
290967,290521,SE,True
290967,290525,SE,True
290967,290529,SE,True
290967,290533,SE,True
290967,290537,SE,True
290967,290541,SE,True
290967,290545,SE,True
290967,290549,SE,True
290970,290557,SE,True
290970,290561,SE,True
290970,290565,SE,True
290970,290569,SE,True
290970,290573,SE,True
290970,290577,SE,True
290970,290581,SE,True
290970,290585,SE,True
290970,290589,SE,True
290970,290593,SE,True
290970,290597,SE,True
290970,290601,SE,True
290970,290605,SE,True
290970,290613,SE,True
290970,290617,SE,True
290970,290621,SE,True
290970,290625,SE,True
290970,290629,SE,True
290970,290633,SE,True
290970,290637,SE,True
290970,290641,SE,True
290970,290645,SE,True
290970,290649,SE,True
290970,290653,SE,True
