GB_id,Movie_name,GB_ReleaseYear,Rovi_id
382,Deep Impact,1998,58633
387,Scream 2,1997,88388
398,Trekkies,1997,130929
401,Life is Beautiful,1997,82809
402,Cannibal! The Musical,1993,217778
413,Primary Colors,1998,58905
414,Mouse Hunt,1997,54512
420,Cop and a Half,1993,569166
422,Clerks,1994,64783
424,The Crow,1994,57924
425,A Fish Called Wanda,1988,50138
426,Gentleman's Agreement,1947,69714
427,Conan the Destroyer,1984,50450
428,The Dentist,1996,1681
432,Flirting with Disaster,1996,50934
445,Double Jeopardy,1999,88400
449,First Knight,1995,50245
466,Earth Girls Are Easy,1988,49988
473,Heaven's Gate,1980,57045
475,House on Haunted Hill,1959,73110
476,Killer's Kiss,1955,62305
479,Go West,1925,569597
489,The Hunted,1995,51105
506,Godzilla's Revenge,1969,566919
512,A League of Their Own,1992,54839
515,The Grifters,1990,61041
519,His Girl Friday,1940,49920
531,Children of the Corn,1984,78199
544,Billy Elliot,2000,91778
546,Songcatcher,2001,613234
548,Fluke,1995,59882
569,Murder!,1930,583149
570,The Mouse on the Moon,1963,108946
572,Men of War,1994,566926
581,White Christmas,1954,64241
583,Planes Trains and Automobiles,1987,56520
585,Talk Radio,1988,63883
586,Bedrooms and Hallways,1998,93627
587,Stiff Upper Lips,1998,86702
589,Female Vampire,1973,508251
590,Casper's Haunted Christmas,2000,4173
591,The Land Before Time VII: Stone of Cold Fire,2000,3254
598,The Collectors,1999,608948
601,The Original Kings of Comedy,2000,608742
603,Rosemary's Baby,1968,82054
609,Strangers in Good Company,1990,570354
611,Slugs,1988,570849
629,Beowulf,1999,6352
632,Dillinger,1973,172467
643,The Dead Zone,1983,54546
654,The Naked Gun 2 1/2: The Smell of Fear,1991,51142
655,Naked Gun 33 1/3: The Final Insult,1994,70150
662,Abbott & Costello Meet Frankenstein,1948,73271
666,Shaft,2000,100833
668,Tales of Terror,1962,71451
680,Black Sabbath,1963,92771
681,Hatchet for the Honeymoon,1970,511293
684,Human Traffic,1999,608970
690,Kabhi Kabhie,1976,139787
694,Hamlet,2000,60715
695,Impostor,2001,59423
696,The Rescuers Down Under,1990,95698
697,Pocahontas II: Journey to a New World,1998,6337
699,Clue,1985,55373
700,Thick as Thieves,1999,68569
707,You Only Live Twice,1967,62390
714,East Is East,1999,77717
721,Scary Movie,2000,64697
722,Funny Face,1957,77393
724,The War Zone,1999,100221
728,Parting Glances,1986,519512
729,Diamonds,1999,57061
733,The Architecture of Doom,1989,502488
736,Committed,2000,95298
740,Romeo & Juliet,1968,57494
745,F/X 2,1991,78392
749,Barton Fink,1991,134963
752,Titan A.E.,2000,78412
754,My Chauffeur,1986,124206
758,Dead Man,1995,73088
763,Man of La Mancha,1972,144749
767,Phaedra,1962,73077
770,Jackie Brown,1997,52656
775,She Done Him Wrong,1933,568187
777,The Hospital,1971,104584
780,Strategic Air Command,1955,153293
785,King of the Zombies,1941,571100
786,Kiss of the Spider Woman,1985,567892
787,Pieces of Dreams,1970,62314
788,In Which We Serve,1942,726746
789,The Best Little Whorehouse in Texas,1982,129683
793,Knock on Wood,1954,129959
795,Roman Holiday,1953,84835
797,Taras Bulba,1962,584233
800,The Man Who Shot Liberty Valance,1962,79807
805,Nine to Five,1980,60964
820,Gunfight at the O.K. Corral,1957,65719
824,Harlem Nights,1989,58255
827,Electra,1962,73985
828,Panic,2000,65821
833,Captain Carey U.S.A.,1950,576596
840,The Wedding Planner,2001,59696
848,Fatal Attraction,1987,52970
849,Joe Dirt,2001,60876
854,Casanova Brown,1944,575695
860,Come Blow Your Horn,1963,68984
864,Beverly Hills Cop,1984,57064
867,Crimes of the Heart,1986,962131
871,Beach Red,1967,158927
873,Ghost,1990,50401
876,Bus Stop,1956,91278
878,There's No Business Like Show Business,1954,68313
880,A Man Called Peter,1955,568242
882,Girls Just Want to Have Fun,1985,59115
886,Witness for the Prosecution,1957,73634
890,Sabrina,1954,84812
904,The Paper Chase,1973,118308
908,The Nasty Girl,1990,590320
909,Everybody's Famous,2000,613249
911,The Naked City,1948,571105
912,Marriage Italian Style,1964,572507
913,Champion,1949,74928
921,Valmont,1989,596330
926,Two for the Seesaw,1962,165100
931,Trading Places,1983,959986
932,Love Story,1970,80492
934,What's Eating Gilbert Grape,1993,64802
935,What's New Pussycat?,1965,67660
936,Cleopatra,1963,55452
938,Summer Rental,1985,56075
940,Wild in the Streets,1968,52375
964,Guadalcanal Diary,1943,69580
995,Pootie Tang,2001,136714
996,Play It Again Sam,1972,116897
1002,Dil Chahta Hai,2001,828141
1003,Batman: The Movie,1966,605348
1004,Tremors 3: Back to Perfection,2001,4110
1005,The Legend of Hell House,1973,84189
1006,The Grass Is Greener,1960,58736
1007,Dr. Goldfoot and the Bikini Machine,1965,68694
1009,Beautiful Creatures,2000,61389
1011,Windtalkers,2002,86743
1012,Donovan's Brain,1953,568316
1013,Scary Movie 2,2001,12259620
1014,Our Song,2000,160317
1026,The Great Gatsby,1974,87025
1029,Chain Reaction,1996,53387
1032,Bounty Hunters,1996,597231
1036,Lust in the Dust,1985,572689
1044,The New Guy,2002,62054
1049,Forever Mine,1999,62404
1050,Memento,2000,59812
1060,Tape,2001,104513
1065,Air Bud: Seventh Inning Fetch,2002,63237
1067,Mademoiselle,1966,595449
1069,Stuart Little 2,2002,75549
1071,National Security,2003,72173
1072,Robinson Crusoe,1997,610928
1073,Black Hawk Down,2001,81032
1074,The Sweetest Thing,2002,95287
1075,Amazons and Gladiators,2001,624933
1076,The Accidental Spy,2001,62627
1077,The Master of Disguise,2002,132531
1078,Brian's Song,2001,400339
1080,Bravo Two Zero,1999,70839
1082,Gosford Park,2001,62078
1083,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,52037
1084,Boxcar Bertha,1972,60208
1085,J.D.'s Revenge,1976,568689
1086,Impromptu,1991,56134
1087,De Sade,1969,570145
1089,The Man Who Wasn't There,2001,60186
1090,Atlantis: The Lost Empire,2001,60566
1092,Vijay,1988,879346
1093,8 1/2,1963,59847
1094,The Snapper,1993,56698
1095,The Glass Shield,1994,53523
1096,Mulholland Dr.,2001,71832
1097,The Bad News Bears,1976,57627
1101,FernGully: The Last Rainforest,1992,54752
1103,Squeeze,1997,569903
1104,Hav Plenty,1997,64136
1105,Monsoon Wedding,2001,63252
1106,The Toxic Avenger: Part 3,1989,571985
1113,Bad Company,1972,55057
1114,The Beloved Rogue,1927,568053
