Show_Type,VU_MO_ID,ROVI_ID
MO,4802,450798
MO,4803,989232190
MO,4804,427759
MO,4805,1056285
MO,4806,453333
MO,4807,17502205
MO,4808,1064555
MO,4810,457238
MO,4811,425036
MO,4813,422742
MO,4814,998218018
MO,4815,1081733
MO,4817,425312
MO,4819,461235
MO,4820,426252
MO,4821,465190
MO,4822,1057789
MO,4823,430951
MO,4824,989232205
MO,4825,446326
MO,4826,1074816
MO,4827,431037
MO,4828,1011663068
MO,4829,445791
MO,4830,427828
MO,4831,19350102
MO,4833,1063389
MO,4834,457112
MO,4835,474873
MO,4838,1022080335
MO,4840,449514
MO,4841,425212
MO,4846,1061963
MO,4848,1068084
MO,4850,1005846851
MO,4851,457513
MO,4854,1063384
MO,4859,1067393
MO,4861,427505
MO,4862,474229
MO,4864,425025
MO,4867,451587
MO,4870,463146
MO,4871,426253
MO,4872,422654
MO,4873,456974
MO,4874,1082379
MO,4875,448501
MO,4876,458499
MO,4883,474335
MO,4884,1075236
MO,4889,468822
MO,4890,1094143
MO,4891,444990
MO,4894,1089077
MO,4895,425235
MO,4897,1054338776
MO,4898,446993
MO,4899,434743
MO,4901,1064493
MO,4902,21262621
MO,4903,437777
MO,4904,448926
MO,4905,446693
MO,4906,422556
MO,4907,1085836
MO,4912,426781
MO,4913,473847
MO,4914,1085530
MO,4917,1079010
MO,4922,473337
MO,4925,1057738
MO,4926,473172
MO,4927,434763
MO,4928,430675
MO,4929,1083728
MO,4930,448418
MO,4932,470491
MO,4934,438499
MO,4936,471448
MO,4937,1084858
MO,4938,429660
MO,4939,990708572
MO,4940,17890038
MO,4942,451184
MO,4943,451173
MO,4944,1095596
MO,4948,1080642
MO,4949,17637745
MO,4953,423836
MO,4954,1084140
MO,4956,1079149
MO,4959,1093317
MO,4960,422614
MO,4962,430428
MO,4966,451191
MO,4969,1107636
MO,4970,459879
MO,4972,429684
MO,4973,1118375
MO,4978,422630
MO,4979,1128307
MO,4985,1098026
MO,4988,461582
MO,4990,1160476
MO,4991,1153188
MO,4994,1153221
MO,4995,1147930
MO,5000,424960
MO,5001,471217
MO,5002,1162612
MO,5003,1162577
MO,5006,459936
MO,5007,1057180
MO,5008,1170088
MO,5011,967263331
MO,5015,433617
MO,5019,446968
MO,5021,990708573
MO,5025,1187110
MO,5026,1187149
MO,5027,454928
MO,5028,1207031
MO,5029,17890595
MO,5030,1209170
MO,5031,1209670
MO,5034,1077211
MO,5035,459863
MO,5036,452570
MO,5037,430224
MO,5038,1203848
MO,5041,1220203
MO,5042,1213325
MO,5043,1213249
MO,5048,66228406
MO,5049,1871733
MO,5050,1230014
MO,5052,447385
MO,5058,1220258
MO,5059,1231422
MO,5060,20715024
MO,5064,446519
MO,5068,1224068
MO,5069,1479896
MO,5071,995187091
MO,5072,1269662
MO,5073,473326
MO,5074,428573
MO,5075,451043
