GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
1403,The Eleanor Roosevelt Story,1965,TRUE,FALSE,"['B00B99QJ7E','B005DWAEBA']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1474,Pink Floyd: The Dark Side of the Moon,2003,TRUE,FALSE,['B017OIV8TW'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1496,Bonhoeffer,2003,TRUE,FALSE,"['B0725R75HR','B0725R75HR']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1501,The Trials of Henry Kissinger,2002,TRUE,FALSE,['B018J8F824'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['363741419'],FALSE,FALSE,,Couldn't Map
1502,Ram Dass: Fierce Grace,2001,TRUE,FALSE,"['B011JHAS04','B011JHAS04']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['401473150'],FALSE,FALSE,,Couldn't Map
1507,Sex Pistols: Never Mind the Bollocks,2002,TRUE,FALSE,['B017OJLHD8'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1509,The Doors: No One Here Gets Out Alive,1981,TRUE,FALSE,['B017OL25FU'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1514,Horatio's Drive: America's First Road Trip,2003,TRUE,FALSE,['B01HU4YJ0K'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1516,Bob the Builder: Teamwork,2003,TRUE,FALSE,['B005FDWQ2C'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1544,Kipper: Playtime,1997,TRUE,FALSE,['B005SFYVOS'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1558,Ken Burns' America: Thomas Hart Benton,1989,TRUE,FALSE,['B01HU4XHXU'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1576,Kipper: Pools Parks and Picnics,1997,TRUE,FALSE,['B0058ZZI68'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1579,Kipper: Fun in the Sun,1997,TRUE,FALSE,['B005SFZ1ME'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1615,Wanda Sykes: Tongue Untied,2003,TRUE,FALSE,['B01JMUPIUA'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1618,The Backyard,2002,TRUE,FALSE,['B000JZ4PG6'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
